"Name","Passing accuracy (%)","Passes attempted","Passes completed"
"Borek Dockal",83,23,19
"Alfred Finnbogason",82,21,17
"Jordan Lukaku",94,48,45
"Laurent Ciman",89,64,57
"Chris Baird",84,19,16
"Taulant Xhaka",93,51,48
"Roman Shirokov",45,27,16
"Marko Rog",92,24,22
"David Lafata",83,14,11
"Migjen Basha",92,25,23
"Denis Alibec",76,20,15
"Theodor Gebre Selassie",60,10,6
"Aritz Aduriz",95,20,19
"Ciro Immobile",70,15,11
"Florin Andone",79,17,13
"Jon Walters",78,12,9
"Daniel Pudil",81,31,25
"Olexandr Kucher",93,73,68
"Claudiu Ke<U+0219>erü",88,8,7
"Ruslan Rotan",93,86,80
"Bruno Alves",86,43,37
"Dmitri Kombarov",85,47,40
"Alexandru Matel",96,46,44
"Ryan Bertrand",94,35,33
"Wojciech Szczesny",75,20,15
"Salvatore Sirigu",94,35,33
"Jason Denayer",97,38,37
"Tin Jedvaj",92,40,37
"Attila Fiola",81,27,22
"Nathaniel Clyne",93,42,39
"Ismail Köybasi",87,31,27
"Angelo Ogbonna",89,47,42
"Danny Ward",35,26,9
"Jordan Henderson",94,78,73
"Mihály Korhut",71,14,10
"Bohdan Butko",83,66,55
"Conor McLaughlin",50,16,8
"Šime Vrsaljko",44,19,17
"Yohan Cabaye",45,44,40
"Yevhen Seleznyov",85,14,12
"Oscar Lewicki",82,32,27
"Olexandr Zinchenko",84,57,47
"Marko Pjaca",87,18,15
"Milan Škriniar",46,39,36
"Odise Roshi",69,33,24
"Volkan Sen",81,37,30
"Norbert Gyömber",80,37,33
"Alexandru Chipciu",75,41,30
"Krisztián Németh",69,39,28
"David Edwards",92,38,36
"Marc Janko",81,11,8
"Jack Wilshere",86,81,69
"Andy King",96,64,61
"Roman Neustädter",91,70,64
"Marcus Berg",91,27,22
"Gabriel Torje",82,35,26
"Stefan Ilsanker",79,63,50
"Michal Duriš",89,27,24
"Sebastian Prödl",87,78,69
"Daryl Murphy",71,17,12
"Andrei Prepelita",91,58,51
"Ákos Elek",89,37,33
"Mihai Pintilii",71,54,39
"Hakan Çalhanoglu",80,41,33
"Oguzhan Özyakup",85,59,51
"Jonathan Williams",56,42,32
"Pavel Mamaev",89,106,96
"Dušan Švento",83,41,29
"John Guidetti",81,30,25
"Marouane Fellaini",91,92,80
"Patrik Hrošovský",89,66,59
"Adrian Popa",77,32,25
"Razvan Rat",70,61,38
"Thiago Motta",84,99,85
"Viktor Pecovský",90,45,41
"Shane Duffy",69,46,32
"Aleksandar Dragovic",95,130,124
"Tomasz Jodlowiec",73,59,44
"Dries Mertens",78,71,56
"Aleksandr Golovin",83,69,58
