"Name","Matches","Minutes"
"Alexandru Matel",1,90
"Salvatore Sirigu",1,90
"Wojciech Szczesny",1,90
"Ryan Bertrand",1,90
"Ismail Köybasi",1,90
"Jordan Henderson",1,90
"Mihály Korhut",1,90
"Danny Ward",1,90
"Angelo Ogbonna",1,90
"Conor McLaughlin",1,90
"Bohdan Butko",1,90
"Tin Jedvaj",1,90
"Jason Denayer",1,90
"Nathaniel Clyne",1,90
"Thiago Cionek",1,90
"Attila Fiola",1,90
"Šime Vrsaljko",2,91
"Yohan Cabaye",2,91
"Yevhen Seleznyov",2,95
"Oscar Lewicki",2,97
"Olexandr Zinchenko",3,97
"Marko Pjaca",3,101
"Milan Škriniar",2,102
"Odise Roshi",3,105
"Volkan Sen",2,106
"Norbert Gyömber",2,108
"Alexandru Chipciu",2,108
"Krisztián Németh",2,108
"David Edwards",3,108
"Marc Janko",2,110
"Jack Wilshere",3,112
"Andy King",3,116
"Roman Neustädter",2,125
"Marcus Berg",3,127
"Gabriel Torje",3,131
"Stefan Ilsanker",2,132
"Michal Duriš",3,133
"Sebastian Prödl",2,135
"Daryl Murphy",2,135
"Andrei Prepelita",2,135
"Mihai Pintilii",2,135
"Ákos Elek",2,135
"Hakan Çalhanoglu",2,135
"Oguzhan Özyakup",3,136
"Jonathan Williams",4,140
"Pavel Mamaev",3,140
"Dušan Švento",3,141
"John Guidetti",3,143
"Marouane Fellaini",3,144
"Patrik Hrošovský",2,150
"Adrian Popa",2,150
"Razvan Rat",2,152
"Thiago Motta",4,154
"Viktor Pecovský",2,156
"Shane Duffy",2,156
"Aleksandar Dragovic",2,156
"Tomasz Jodlowiec",5,157
"Dries Mertens",5,158
"Aleksandr Golovin",3,160
"Andi Lila",2,161
"Nicolae Stanciu",2,162
"Burim Kukeli",2,164
"Serhiy Sydorchuk",2,166
"Ádám Pintér",3,166
"Martin Harnik",2,167
"Albin Ekdal",3,173
"Viktor Kovalenko",3,173
"Gergo Lovrencsics",2,173
"Arlind Ajeti",2,175
"Roman Zozulya",3,175
"Caner Erkin",2,180
"David Limberský",2,180
"Richard Keogh",2,180
"Tomáš Hubocan",2,180
"Ciaran Clark",2,180
"Glenn Whelan",2,180
"Vyacheslav Shevchuk",2,180
"Yaroslav Rakitskiy",2,180
"Conor Washington",4,188
"Raheem Sterling",3,192
"Breel Embolo",4,192
"Marcel Sabitzer",3,194
"John O'Shea",3,202
"Daniele De Rossi",3,206
"Bartosz Kapustka",4,207
"Eliseu",2,210
"Kyle Lafferty",3,211
"James McClean",4,212
"Stefano Sturaro",3,215
"Jamie Ward",4,222
"Adam Lallana",3,223
"Danilo",5,225
"Erik Johansson",3,225
"Ovidiu Hoban",3,225
"Mario Götze",4,234
"Harry Kane",4,240
"Fedor Smolov",3,245
"Arda Turan",3,245
"Sebastian Larsson",3,250
"Selçuk Inan",3,250
"Emil Forsberg",3,251
"Roland Juhász",3,253
"Aleksandr Kokorin",3,255
"Ermir Lenjani",3,257
"Corry Evans",3,264
"Jaroslav Plašil",3,266
"Mario Mandžukic",3,268
"Julian Baumgartlinger",3,270
"Artem Fedetskiy",3,270
"Artem Dzyuba",3,270
"Florian Klein",3,270
"Andreas Granqvist",3,270
"Danny Rose",3,270
"Martin Olsson",3,270
"Tamás Kádár",3,270
"Igor Smolnikov",3,270
"Cristian Sapunaru",3,270
"Petr Cech",3,270
"Kim Källström",3,270
"Andreas Isaksson",3,270
"Ádám Nagy",3,270
"Aaron Hughes",3,270
"Ricardo Carvalho",3,270
"Robert Almer",3,270
"Hakan Balta",3,270
"Roman Hubník",3,270
"Sergei Ignashevich",3,270
"Ansi Agolli",3,270
"Tomáš Sivok",3,270
"Christian Fuchs",3,270
"Igor Akinfeev",3,270
"Andriy Pyatov",3,270
"Vieirinha",3,270
"Volkan Babacan",3,270
"Stephen Ward",3,270
"Elseid Hysaj",3,270
"Ladislav Krejcí",3,270
"Martin Hinteregger",3,270
"Vladimír Darida",3,270
"Victor Lindelöf",3,270
"Andriy Yarmolenko",3,270
"Etrit Berisha",3,270
"Gökhan Gönül",3,270
"Ciprian Tatarusanu",3,270
"Marko Arnautovic",3,270
"Taras Stepanenko",3,270
"Yevhen Konoplyanka",3,270
"Yevhen Khacheridi",3,270
"Vlad Chiriches",3,270
"Mërgim Mavraj",3,270
"Kyle Walker",3,270
"Dragos Grigore",3,270
"Amir Abrashi",3,270
"Pavel Kaderábek",3,270
"Kingsley Coman",6,272
"Haris Seferovic",4,289
"James McCarthy",4,295
"Domagoj Vida",3,300
"Ivan Strinic",3,300
"Samuel Umtiti",3,300
"Blerim Džemaili",4,306
"Mattia De Sciglio",4,323
"Adrien Silva",4,326
"David Silva",4,334
"Sami Khedira",5,341
"Alessandro Florenzi",4,345
"Valon Behrami",4,347
"Shane Long",4,349
"Krzysztof Maczynski",4,353
"David de Gea",4,360
"Juraj Kucka",4,360
"Gary Cahill",4,360
"Chris Smalling",4,360
"Sergio Busquets",4,360
"Jeff Hendrick",4,360
"Ádám Lang",4,360
"Craig Cathcart",4,360
"Richárd Guzmics",4,360
"Sergio Ramos",4,360
"Jonny Evans",4,360
"Joe Hart",4,360
"Jan Vertonghen",4,360
"Juanfran",4,360
"Michael McGovern",4,360
"Peter Pekarík",4,360
"Martin Škrtel",4,360
"Ján Durica",4,360
"Thomas Vermaelen",4,360
"Darren Randolph",4,360
"Steven Davis",4,360
"Gábor Király",4,360
"Matúš Kozácik",4,360
"Joe Ledley",6,363
"Moussa Sissoko",6,382
"Danijel Subašic",4,390
"Mats Hummels",4,390
"Yann Sommer",4,390
"Milan Badelj",4,390
"Johan Djourou",4,390
"Vedran Corluka",4,390
"Darijo Srna",4,390
"Gianluigi Buffon",4,390
"Stephan Lichtsteiner",4,390
"Marco Parolo",4,390
"Joshua Kimmich",4,390
"Granit Xhaka",4,390
"Ricardo Rodríguez",4,390
"Lukasz Fabianski",4,420
"Lukasz Piszczek",4,420
"Benedikt Höwedes",6,422
"Aron Gunnarsson",5,425
"José Fonte",4,450
"Hannes Halldórsson",5,450
"Birkir Sævarsson",5,450
"Wayne Hennessey",5,450
"Thibaut Courtois",5,450
"Ben Davies",5,450
"Cédric",4,450
"Andrea Barzagli",5,480
"Artur Jedrzejczyk",5,510
"Kamil Glik",5,510
"Grzegorz Krychowiak",5,510
"Michal Pazdan",5,510
"William Carvalho",5,516
"James Chester",6,540
"Manuel Neuer",6,570
"Pepe",6,630
"Laurent Koscielny",7,642
"Hugo Lloris",7,660
"Patrice Evra",7,660
"Rui Patrício",7,720
